date,1. open,2. high,3. low,4. close,5. volume
2018-10-16 11:36:00,6.4,6.4,6.4,6.4,2825.0
2018-10-16 11:37:00,6.405,6.405,6.405,6.405,1264.0
2018-10-16 11:38:00,6.405,6.405,6.405,6.405,4253.0
2018-10-16 11:39:00,6.4,6.4,6.4,6.4,3528.0
2018-10-16 11:40:00,6.405,6.405,6.405,6.405,1312.0
2018-10-16 11:41:00,6.405,6.405,6.405,6.405,825.0
2018-10-16 11:42:00,6.405,6.405,6.405,6.405,1671.0
2018-10-16 11:43:00,6.405,6.405,6.4,6.4,4345.0
2018-10-16 11:44:00,6.405,6.405,6.405,6.405,2454.0
2018-10-16 11:45:00,6.405,6.405,6.405,6.405,1192.0
2018-10-16 11:46:00,6.405,6.405,6.405,6.405,1679.0
2018-10-16 11:47:00,6.405,6.41,6.405,6.41,4510.0
2018-10-16 11:49:00,6.4,6.4,6.4,6.4,923.0
2018-10-16 11:50:00,6.41,6.41,6.4,6.4,3823.0
2018-10-16 11:51:00,6.405,6.405,6.4,6.4,8296.0
2018-10-16 11:52:00,6.4,6.4,6.3927,6.3927,9321.0
2018-10-16 11:53:00,6.4,6.4,6.4,6.4,2901.0
2018-10-16 11:54:00,6.4,6.4,6.4,6.4,915.0
2018-10-16 11:55:00,6.395,6.395,6.395,6.395,1534.0
2018-10-16 11:56:00,6.4,6.4,6.4,6.4,1019.0
2018-10-16 11:57:00,6.39,6.395,6.39,6.395,7710.0
2018-10-16 11:58:00,6.3942,6.395,6.3942,6.395,5930.0
2018-10-16 11:59:00,6.39,6.39,6.39,6.39,3553.0
2018-10-16 12:00:00,6.395,6.395,6.395,6.395,3239.0
2018-10-16 12:01:00,6.4,6.4,6.4,6.4,7155.0
2018-10-16 12:02:00,6.4,6.4,6.395,6.395,2965.0
2018-10-16 12:03:00,6.39,6.39,6.39,6.39,1880.0
2018-10-16 12:04:00,6.395,6.395,6.395,6.395,2616.0
2018-10-16 12:05:00,6.39,6.4,6.39,6.4,9450.0
2018-10-16 12:06:00,6.4,6.4,6.4,6.4,1817.0
2018-10-16 12:07:00,6.4,6.4,6.4,6.4,1920.0
2018-10-16 12:08:00,6.4,6.4,6.39,6.39,8191.0
2018-10-16 12:09:00,6.395,6.395,6.395,6.395,1026.0
2018-10-16 12:10:00,6.4,6.4,6.4,6.4,710.0
2018-10-16 12:11:00,6.4,6.4,6.4,6.4,2657.0
2018-10-16 12:12:00,6.4,6.4,6.39,6.39,3279.0
2018-10-16 12:13:00,6.4,6.4,6.4,6.4,5127.0
2018-10-16 12:14:00,6.395,6.395,6.3938,6.3938,5761.0
2018-10-16 12:15:00,6.39,6.39,6.39,6.39,3750.0
2018-10-16 12:16:00,6.4,6.4,6.4,6.4,2252.0
2018-10-16 12:17:00,6.39,6.39,6.39,6.39,7267.0
2018-10-16 12:18:00,6.395,6.395,6.395,6.395,1604.0
2018-10-16 12:19:00,6.39,6.39,6.39,6.39,2246.0
2018-10-16 12:20:00,6.3919,6.395,6.3919,6.395,3766.0
2018-10-16 12:21:00,6.39,6.39,6.39,6.39,252.0
2018-10-16 12:22:00,6.3923,6.3923,6.3923,6.3923,1626.0
2018-10-16 12:23:00,6.39,6.39,6.39,6.39,1955.0
2018-10-16 12:24:00,6.39,6.395,6.39,6.395,4289.0
2018-10-16 12:25:00,6.395,6.395,6.395,6.395,1001.0
2018-10-16 12:26:00,6.39,6.39,6.39,6.39,2304.0
2018-10-16 12:27:00,6.395,6.395,6.395,6.395,2044.0
2018-10-16 12:28:00,6.4,6.4,6.4,6.4,813.0
2018-10-16 12:29:00,6.4,6.4,6.395,6.395,4917.0
2018-10-16 12:30:00,6.4,6.42,6.4,6.42,96628.0
2018-10-16 12:31:00,6.42,6.42,6.42,6.42,1715.0
2018-10-16 12:32:00,6.415,6.415,6.415,6.415,816.0
2018-10-16 12:33:00,6.42,6.42,6.42,6.42,1022.0
2018-10-16 12:34:00,6.4134,6.4134,6.4134,6.4134,1862.0
2018-10-16 12:35:00,6.415,6.42,6.415,6.42,6495.0
2018-10-16 12:36:00,6.42,6.42,6.42,6.42,10455.0
2018-10-16 12:37:00,6.42,6.42,6.42,6.42,1915.0
2018-10-16 12:38:00,6.42,6.42,6.42,6.42,3510.0
2018-10-16 12:39:00,6.42,6.42,6.42,6.42,529.0
2018-10-16 12:40:00,6.42,6.42,6.42,6.42,4629.0
2018-10-16 12:41:00,6.42,6.42,6.415,6.415,4151.0
2018-10-16 12:42:00,6.42,6.42,6.42,6.42,1319.0
2018-10-16 12:43:00,6.4199,6.4199,6.4199,6.4199,2158.0
2018-10-16 12:44:00,6.42,6.42,6.42,6.42,8281.0
2018-10-16 12:45:00,6.42,6.42,6.42,6.42,2715.0
2018-10-16 12:46:00,6.42,6.42,6.42,6.42,3328.0
2018-10-16 12:47:00,6.42,6.42,6.42,6.42,5598.0
2018-10-16 12:48:00,6.42,6.42,6.42,6.42,6995.0
2018-10-16 12:49:00,6.415,6.415,6.415,6.415,2915.0
2018-10-16 12:50:00,6.42,6.42,6.42,6.42,5025.0
2018-10-16 12:51:00,6.42,6.42,6.42,6.42,1137.0
2018-10-16 12:52:00,6.42,6.42,6.42,6.42,926.0
2018-10-16 12:53:00,6.415,6.415,6.415,6.415,1672.0
2018-10-16 12:54:00,6.42,6.42,6.42,6.42,1015.0
2018-10-16 12:55:00,6.4147,6.4147,6.4147,6.4147,7673.0
2018-10-16 12:56:00,6.415,6.42,6.415,6.42,3623.0
2018-10-16 12:57:00,6.41,6.41,6.41,6.41,1211.0
2018-10-16 12:59:00,6.42,6.42,6.42,6.42,3224.0
2018-10-16 13:00:00,6.415,6.415,6.415,6.415,1905.0
2018-10-16 13:01:00,6.42,6.42,6.42,6.42,3630.0
2018-10-16 13:02:00,6.42,6.42,6.42,6.42,3104.0
2018-10-16 13:03:00,6.415,6.415,6.415,6.415,3413.0
2018-10-16 13:04:00,6.42,6.42,6.42,6.42,1303.0
2018-10-16 13:05:00,6.41,6.41,6.41,6.41,1464.0
2018-10-16 13:06:00,6.42,6.42,6.42,6.42,4433.0
2018-10-16 13:07:00,6.415,6.415,6.415,6.415,2097.0
2018-10-16 13:08:00,6.415,6.415,6.415,6.415,2714.0
2018-10-16 13:09:00,6.42,6.42,6.42,6.42,2413.0
2018-10-16 13:10:00,6.42,6.42,6.42,6.42,1112.0
2018-10-16 13:11:00,6.415,6.42,6.415,6.42,39157.0
2018-10-16 13:12:00,6.42,6.42,6.42,6.42,1212.0
2018-10-16 13:13:00,6.415,6.415,6.415,6.415,7470.0
2018-10-16 13:14:00,6.415,6.415,6.41,6.41,4866.0
2018-10-16 13:15:00,6.42,6.42,6.42,6.42,1012.0
2018-10-16 13:16:00,6.42,6.42,6.42,6.42,1881.0
2018-10-16 13:17:00,6.415,6.415,6.415,6.415,1957.0
2018-10-16 13:18:00,6.42,6.42,6.42,6.42,1877.0
2018-10-16 13:19:00,6.42,6.42,6.42,6.42,1566.0
2018-10-16 13:20:00,6.415,6.415,6.415,6.415,2506.0
2018-10-16 13:21:00,6.415,6.42,6.415,6.42,2600.0
2018-10-16 13:22:00,6.42,6.42,6.42,6.42,923.0
2018-10-16 13:23:00,6.42,6.42,6.42,6.42,914.0
2018-10-16 13:24:00,6.42,6.42,6.42,6.42,1608.0
2018-10-16 13:25:00,6.42,6.42,6.42,6.42,5541.0
2018-10-16 13:26:00,6.42,6.42,6.42,6.42,1802.0
2018-10-16 13:27:00,6.42,6.42,6.415,6.415,5622.0
2018-10-16 13:28:00,6.42,6.42,6.42,6.42,1793.0
2018-10-16 13:29:00,6.42,6.42,6.42,6.42,501.0
2018-10-16 13:30:00,6.42,6.42,6.42,6.42,6975.0
2018-10-16 13:31:00,6.4169,6.42,6.4169,6.42,17120.0
